question_type,multiple_choice_answer,answers,image_id,answer_type
is the boy,no,"[{'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 10}]",20050,yes/no
are they,yes,"[{'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'yes', 'answer_confidence': 'maybe', 'answer_id': 2}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 10}]",20059,yes/no
what,baseball,"[{'answer': 'baseball', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'baseball', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'baseball', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'dog', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': 'baseball', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'baseball', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': 'baseball', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': 'baseball', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': 'baseball', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'baseball', 'answer_confidence': 'yes', 'answer_id': 10}]",20059,other
are the,no,"[{'answer': 'no', 'answer_confidence': 'maybe', 'answer_id': 1}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'yes', 'answer_confidence': 'maybe', 'answer_id': 4}, {'answer': 'yes', 'answer_confidence': 'maybe', 'answer_id': 5}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': 'yes', 'answer_confidence': 'maybe', 'answer_id': 8}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'yes', 'answer_confidence': 'maybe', 'answer_id': 10}]",20059,yes/no
is she,yes,"[{'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'yes', 'answer_confidence': 'maybe', 'answer_id': 6}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 10}]",20109,yes/no
who,woman,"[{'answer': 'girl', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'woman', 'answer_confidence': 'maybe', 'answer_id': 2}, {'answer': 'woman', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'girl', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': 'girl', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'girl', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': ""girl's brother"", 'answer_confidence': 'maybe', 'answer_id': 7}, {'answer': 'woman', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': 'woman', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'woman', 'answer_confidence': 'yes', 'answer_id': 10}]",20109,other
what color is,white,"[{'answer': 'white', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'white', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'white', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'white', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': 'white', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'white', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': 'white', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': 'white', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': 'white', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'white', 'answer_confidence': 'yes', 'answer_id': 10}]",20109,other
where is the,bench,"[{'answer': 'on bench', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'bench', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'bench', 'answer_confidence': 'maybe', 'answer_id': 3}, {'answer': 'bench', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': 'bench', 'answer_confidence': 'no', 'answer_id': 5}, {'answer': 'bench', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': 'bench', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': 'bench', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': 'bench', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'bench', 'answer_confidence': 'yes', 'answer_id': 10}]",20097,other
where is the,blanket,"[{'answer': 'blanket', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'on blanket', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'on blanket', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'on blanket', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': 'picnic blanket', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'blanket', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': 'blanket', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': 'blanket', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': 'picnic blanket', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'blanket', 'answer_confidence': 'yes', 'answer_id': 10}]",20097,other
is the man,no,"[{'answer': 'no', 'answer_confidence': 'maybe', 'answer_id': 1}, {'answer': 'no', 'answer_confidence': 'maybe', 'answer_id': 2}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': 'no', 'answer_confidence': 'maybe', 'answer_id': 5}, {'answer': 'no', 'answer_confidence': 'maybe', 'answer_id': 6}, {'answer': 'yes', 'answer_confidence': 'maybe', 'answer_id': 7}, {'answer': 'yes', 'answer_confidence': 'maybe', 'answer_id': 8}, {'answer': 'no', 'answer_confidence': 'maybe', 'answer_id': 9}, {'answer': 'yes', 'answer_confidence': 'maybe', 'answer_id': 10}]",20097,yes/no
is the,yes,"[{'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'yes', 'answer_confidence': 'maybe', 'answer_id': 2}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': 'between', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 10}]",20025,yes/no
how many,3,"[{'answer': '3', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': '3', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': '3', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': '3', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': '3', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': '3', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': '3', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': '3', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': '3', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': '3', 'answer_confidence': 'yes', 'answer_id': 10}]",20025,number
is the dog,yes,"[{'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'yes', 'answer_confidence': 'maybe', 'answer_id': 2}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': 'yes', 'answer_confidence': 'maybe', 'answer_id': 9}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 10}]",20025,yes/no
what is the dog,door,"[{'answer': 'door', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'door', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'door', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'plant', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': 'door', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'door', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': 'door', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': 'door', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': 'door', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'door', 'answer_confidence': 'yes', 'answer_id': 10}]",20037,other
what is the dog,camera,"[{'answer': 'photographer', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'person', 'answer_confidence': 'maybe', 'answer_id': 2}, {'answer': 'owner', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'camera', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': 'camera', 'answer_confidence': 'maybe', 'answer_id': 5}, {'answer': 'not sure', 'answer_confidence': 'no', 'answer_id': 6}, {'answer': 'me', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': 'camera', 'answer_confidence': 'maybe', 'answer_id': 8}, {'answer': 'viewer', 'answer_confidence': 'no', 'answer_id': 9}, {'answer': 'person', 'answer_confidence': 'maybe', 'answer_id': 10}]",20037,other
what color is the,red,"[{'answer': 'red', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'red', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'red', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'red', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': 'red', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'red', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': 'red', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': 'red', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': 'red', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'red', 'answer_confidence': 'yes', 'answer_id': 10}]",20037,other
does the,no,"[{'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'no', 'answer_confidence': 'maybe', 'answer_id': 6}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 10}]",20160,yes/no
what,dollhouse,"[{'answer': 'dollhouse', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'dollhouse', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'house', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'dollhouse', 'answer_confidence': 'maybe', 'answer_id': 4}, {'answer': 'dollhouse', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'dollhouse', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': 'dollhouse', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': 'dollhouse', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': 'dollhouse', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'dollhouse', 'answer_confidence': 'yes', 'answer_id': 10}]",20160,other
how many,2,"[{'answer': '2', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': '2', 'answer_confidence': 'maybe', 'answer_id': 2}, {'answer': '3', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': '2', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': '2', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': '2', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': '2', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': '2', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': '2', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': '2', 'answer_confidence': 'yes', 'answer_id': 10}]",20160,number
where is the,in sky,"[{'answer': 'in sky', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'sky', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'in sky', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'in sky', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': 'sky', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'in sky', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': 'in sky', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': 'right of tree', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': 'in sky', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'top', 'answer_confidence': 'yes', 'answer_id': 10}]",20150,other
what,red and white,"[{'answer': 'red and white', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'red and white', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'red and white', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'red and white', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': 'red and white', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'red and white', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': 'red and white', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': 'red and white', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': 'red and white', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'red white', 'answer_confidence': 'yes', 'answer_id': 10}]",20150,other
none of the above,no,"[{'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 10}]",20150,yes/no
are they,no,"[{'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 10}]",20113,yes/no
are the,no,"[{'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 10}]",20113,yes/no
are,no,"[{'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 10}]",20113,yes/no
is this,yes,"[{'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'yes', 'answer_confidence': 'maybe', 'answer_id': 6}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': 'yes', 'answer_confidence': 'maybe', 'answer_id': 8}, {'answer': 'yes', 'answer_confidence': 'maybe', 'answer_id': 9}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 10}]",20082,yes/no
what are they,plant,"[{'answer': 'not sure', 'answer_confidence': 'maybe', 'answer_id': 1}, {'answer': ""i don't know"", 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'potted plant', 'answer_confidence': 'maybe', 'answer_id': 3}, {'answer': 'party', 'answer_confidence': 'maybe', 'answer_id': 4}, {'answer': 'jokes', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'nothing', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': 'plant', 'answer_confidence': 'maybe', 'answer_id': 7}, {'answer': 'weather', 'answer_confidence': 'maybe', 'answer_id': 8}, {'answer': 'plant', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'life', 'answer_confidence': 'maybe', 'answer_id': 10}]",20082,other
how many,3,"[{'answer': '3', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': '3', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': '3', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': '3', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': '3', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': '3', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': '3', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': '3', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': '3', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': '3', 'answer_confidence': 'yes', 'answer_id': 10}]",20082,number
is the,yes,"[{'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 10}]",20092,yes/no
is the,no,"[{'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 10}]",20092,yes/no
what is the lady,sitting,"[{'answer': 'sitting on blanket', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'sitting down', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'sitting', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'sitting', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': 'sitting', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'waving', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': 'sitting', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': 'laughing', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': 'sitting', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'waving', 'answer_confidence': 'yes', 'answer_id': 10}]",20092,other
did the,yes,"[{'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': 'yes', 'answer_confidence': 'maybe', 'answer_id': 7}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': 'maybe', 'answer_confidence': 'maybe', 'answer_id': 9}, {'answer': 'yes', 'answer_confidence': 'maybe', 'answer_id': 10}]",20192,yes/no
what color is the,beige,"[{'answer': 'tan', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'beige', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'light purple gray', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'yellow', 'answer_confidence': 'maybe', 'answer_id': 4}, {'answer': 'beige', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'beige', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': 'beige', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': 'white', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': 'tan', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'tan', 'answer_confidence': 'yes', 'answer_id': 10}]",20192,other
what color is the,red,"[{'answer': 'red', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'red', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'red', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'red', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': 'window', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'brown', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': 'reddish brown', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': 'red', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': 'red', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'red', 'answer_confidence': 'yes', 'answer_id': 10}]",20192,other
is the,no,"[{'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 10}]",20073,yes/no
none of the above,yes,"[{'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': 'yes', 'answer_confidence': 'maybe', 'answer_id': 5}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'yes', 'answer_confidence': 'yes', 'answer_id': 10}]",20073,yes/no
is the,full,"[{'answer': 'full', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'full', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'full', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'empty', 'answer_confidence': 'maybe', 'answer_id': 4}, {'answer': 'full', 'answer_confidence': 'maybe', 'answer_id': 5}, {'answer': 'empty', 'answer_confidence': 'maybe', 'answer_id': 6}, {'answer': 'empty', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': 'full', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': 'empty', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'full', 'answer_confidence': 'maybe', 'answer_id': 10}]",20073,other
are they,no,"[{'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 1}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 2}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 3}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 4}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 5}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 6}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 7}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 8}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 9}, {'answer': 'no', 'answer_confidence': 'yes', 'answer_id': 10}]",20114,yes/no
